team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Player_Of_The_Match,Match_number,Season
New Zealand,India,303/5,216 (49.4/50 ov),New Zealand won by 87 runs,"Fall of wickets: 1-22 (Jesse Ryder, 7.4 ov), 2-41 (Martin Guptill, 12.2 ov), 3-193 (Kane Williamson, 37.3 ov), 4-243 (Brendon McCullum, 43.5 ov), 5-274 (Ross Taylor, 47.6 ov)","Fall of wickets: 1-8 (Rohit Sharma, 4.3 ov), 2-20 (Shikhar Dhawan, 9.5 ov), 3-30 (Ajinkya Rahane, 13.2 ov), 4-78 (Ambati Rayudu, 23.6 ov), 5-145 (Virat Kohli, 36.1 ov), 6-167 (Ravichandran Ashwin, 40.2 ov), 7-174 (Ravindra Jadeja, 41.5 ov), 8-181 (MS Dhoni, 44.1 ov), 9-215 (Bhuvneshwar Kumar, 48.6 ov), 10-216 (Varun Aaron, 49.4 ov)",India tour of New Zealand 2013/14,"India , elected to field first",Ross Taylor,ODI no. 3467,2013/14
Zimbabwe,India,168,173/1 (42.3/50 ov),India won by 9 wickets (with 45 balls remaining),"Fall of wickets: 1-8 (Peter Moor, 1.6 ov), 2-30 (Hamilton Masakadza, 8.4 ov), 3-47 (Chamu Chibhabha, 13.1 ov), 4-69 (Vusi Sibanda, 19.2 ov), 5-77 (Craig Ervine, 23.6 ov), 6-115 (Sikandar Raza, 37.3 ov), 7-140 (Richmond Mutumbami, 43.3 ov), 8-156 (Graeme Cremer, 46.5 ov), 9-167 (Elton Chigumbura, 49.3 ov), 10-168 (Tendai Chatara, 49.5 ov)","Fall of wickets: 1-11 (Karun Nair, 4.3 ov)",India tour of Zimbabwe 2016,"India , elected to field first",KL Rahul,ODI no. 3742,2016
Zimbabwe,India,126,129/2 (26.5/50 ov),India won by 8 wickets (with 139 balls remaining),"Fall of wickets: 1-19 (Hamilton Masakadza, 4.3 ov), 2-21 (Peter Moor, 6.2 ov), 3-39 (Chamu Chibhabha, 9.6 ov), 4-106 (Sikandar Raza, 25.2 ov), 5-106 (Elton Chigumbura, 25.3 ov), 6-107 (Vusi Sibanda, 27.4 ov), 7-112 (Richmond Mutumbami, 30.2 ov), 8-115 (Tendai Chatara, 31.4 ov), 9-126 (Taurai Muzarabani, 34.3 ov)","Fall of wickets: 1-58 (KL Rahul, 14.4 ov), 2-125 (Karun Nair, 26.4 ov)",India tour of Zimbabwe 2016,"India , elected to field first",Yuzvendra Chahal,ODI no. 3744,2016
Zimbabwe,India,123,126/0 (21.5/50 ov),India won by 10 wickets (with 169 balls remaining),"Fall of wickets: 1-19 (Hamilton Masakadza, 5.3 ov), 2-55 (Chamu Chibhabha, 20.1 ov), 3-89 (Vusi Sibanda, 28.4 ov), 4-104 (Timycen Maruma, 32.5 ov), 5-104 (Elton Chigumbura, 32.6 ov), 6-104 (Malcolm Waller, 33.1 ov), 7-104 (Graeme Cremer, 33.2 ov), 8-108 (Richmond Mutumbami, 34.3 ov), 9-110 (Tawanda Mupariwa, 36.4 ov), 10-123 (Donald Tiripano, 42.2 ov)","Did not bat: MK Pandey, AT Rayudu, KM Jadhav, MS Dhoni (c) †, AR Patel, DS Kulkarni, JJ Bumrah, BB Sran, YS Chahal",India tour of Zimbabwe 2016,"Zimbabwe , elected to bat first",KL Rahul,India won the 3-match series 3-0,ODI no. 3746
West Indies,Zimbabwe,337/4,181/9 (50 ov),West Indies won by 156 runs,"Fall of wickets: 1-168 (Kieran Powell, 28.4 ov), 2-248 (Johnson Charles, 38.6 ov), 3-266 (Andre Russell, 41.3 ov), 4-302 (Dwayne Bravo, 47.2 ov)","Fall of wickets: 1-18 (Vusi Sibanda, 4.4 ov), 2-22 (Chamu Chibhabha, 5.3 ov), 3-31 (Hamilton Masakadza, 9.2 ov), 4-34 (Brendan Taylor, 10.5 ov), 5-92 (Craig Ervine, 23.5 ov), 6-115 (Regis Chakabva, 29.3 ov), 7-156 (Malcolm Waller, 40.6 ov), 8-161 (Kyle Jarvis, 43.4 ov), 9-181 (Natsai M'shangwe, 48.5 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to field first",Johnson Charles,ODI no. 3337,2012/13
Zimbabwe,West Indies,273/8,274/3 (49/50 ov),West Indies won by 7 wickets (with 6 balls remaining),"Fall of wickets: 1-39 (Chamu Chibhabha, 11.1 ov), 2-76 (Vusi Sibanda, 18.2 ov), 3-76 (Brendan Taylor, 18.4 ov), 4-186 (Hamilton Masakadza, 40.3 ov), 5-232 (Malcolm Waller, 44.6 ov), 6-241 (Craig Ervine, 45.4 ov), 7-268 (Regis Chakabva, 49.1 ov), 8-271 (Kyle Jarvis, 49.5 ov)","Fall of wickets: 1-111 (Kieran Powell, 25.4 ov), 2-111 (Darren Bravo, 25.6 ov), 3-219 (Narsingh Deonarine, 43.2 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to bat first",Dwayne Bravo,ODI no. 3339,2012/13
Zimbabwe,West Indies,211/9,215/5 (46.2/50 ov),West Indies won by 5 wickets (with 22 balls remaining),"Fall of wickets: 1-23 (Tino Mawoyo, 9.1 ov), 2-30 (Hamilton Masakadza, 12.3 ov), 3-85 (Vusi Sibanda, 20.6 ov), 4-104 (Brendan Taylor, 24.2 ov), 5-128 (Malcolm Waller, 30.5 ov), 6-139 (Regis Chakabva, 36.3 ov), 7-157 (Tinotenda Mutombodzi, 40.5 ov), 8-160 (Natsai M'shangwe, 41.4 ov), 9-201 (Kyle Jarvis, 48.4 ov)","Fall of wickets: 1-46 (Ramnaresh Sarwan, 11.3 ov), 2-83 (Kieran Powell, 21.4 ov), 3-120 (Narsingh Deonarine, 30.6 ov), 4-121 (Kieron Pollard, 31.2 ov), 5-167 (Dwayne Bravo, 38.3 ov)",Zimbabwe tour of West Indies 2012/13,"Zimbabwe , elected to bat first",Darren Bravo,West Indies won the 3-match series 3-0,ODI no. 3340
New Zealand,Bangladesh,341/7,264 (44.5/50 ov),New Zealand won by 77 runs,"Fall of wickets: 1-31 (Martin Guptill, 5.1 ov), 2-79 (Kane Williamson, 14.2 ov), 3-134 (Neil Broom, 24.3 ov), 4-158 (James Neesham, 28.4 ov), 5-316 (Colin Munro, 46.3 ov), 6-323 (Tom Latham, 47.3 ov), 7-327 (Luke Ronchi, 48.2 ov)","Fall of wickets: 1-34 (Imrul Kayes, 7.3 ov), 2-48 (Soumya Sarkar, 11.2 ov), 3-48 (Mahmudullah, 11.5 ov), 4-81 (Tamim Iqbal, 17.6 ov), 5-144 (Shakib Al Hasan, 27.3 ov), 6-167 (Sabbir Rahman, 30.4 ov), 6-219* (Mushfiqur Rahim, retired not out ), 7-242 (Mashrafe Mortaza, 41.1 ov), 8-252 (Taskin Ahmed, 43.6 ov), 9-264 (Mustafizur Rahman, 44.5 ov)",Bangladesh tour of New Zealand 2016/17,"New Zealand , elected to bat first",Tom Latham,ODI no. 3814,2016/17
New Zealand,Bangladesh,251,184 (42.4/50 ov),New Zealand won by 67 runs,"Fall of wickets: 1-0 (Martin Guptill, 0.4 ov), 2-37 (Kane Williamson, 10.5 ov), 3-47 (Tom Latham, 13.1 ov), 4-98 (James Neesham, 22.5 ov), 5-107 (Colin Munro, 25.3 ov), 6-171 (Luke Ronchi, 37.3 ov), 7-198 (Mitchell Santner, 42.5 ov), 8-214 (Tim Southee, 45.2 ov), 9-228 (Lockie Ferguson, 46.5 ov), 10-251 (Trent Boult, 49.6 ov)","Fall of wickets: 1-30 (Tamim Iqbal, 7.2 ov), 2-105 (Sabbir Rahman, 22.6 ov), 3-112 (Mahmudullah, 25.3 ov), 4-128 (Shakib Al Hasan, 28.4 ov), 5-134 (Mosaddek Hossain, 30.4 ov), 6-136 (Imrul Kayes, 31.3 ov), 7-141 (Tanbir Hayder, 32.4 ov), 8-162 (Mashrafe Mortaza, 36.4 ov), 9-175 (Taskin Ahmed, 39.3 ov), 10-184 (Nurul Hasan, 42.4 ov)",Bangladesh tour of New Zealand 2016/17,"Bangladesh , elected to field first",Neil Broom,ODI no. 3815,2016/17
West Indies,India,321/6,197 (41/50 ov),West Indies won by 124 runs,"Fall of wickets: 1-34 (Dwayne Bravo, 7.1 ov), 2-98 (Dwayne Smith, 17.2 ov), 3-120 (Darren Bravo, 22.3 ov), 4-285 (Denesh Ramdin, 45.4 ov), 5-296 (Kieron Pollard, 47.3 ov), 6-298 (Andre Russell, 47.6 ov)","Fall of wickets: 1-49 (Ajinkya Rahane, 8.4 ov), 2-55 (Virat Kohli, 9.5 ov), 3-82 (Ambati Rayudu, 15.5 ov), 4-83 (Suresh Raina, 16.2 ov), 5-114 (MS Dhoni, 25.1 ov), 6-134 (Shikhar Dhawan, 28.4 ov), 7-138 (Bhuvneshwar Kumar, 30.4 ov), 8-146 (Amit Mishra, 34.3 ov), 9-155 (Mohit Sharma, 35.6 ov), 10-197 (Mohammed Shami, 40.6 ov)",West Indies tour of India 2014/15,"India , elected to field first",Marlon Samuels,ODI no. 3531,2014/15
