,team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Match_number,Season
0,England,Australia,190,191/5 (34.6/40 ov),Australia won by 5 wickets (with 42 balls remaining),"Fall of wickets: 1-21 (Geoff Boycott), 2-87 (Keith Fletcher), 3-124 (Basil D'Oliveira), 4-144 (John Hampshire), 5-148 (Colin Cowdrey), 6-152 (Ray Illingworth), 7-156 (John Edrich), 8-171 (John Snow), 9-183 (Ken Shuttleworth), 10-190 (Alan Knott)","Fall of wickets: 1-19 (Keith Stackpole), 2-51 (Bill Lawry), 3-117 (Doug Walters), 4-158 (Ian Redpath), 5-165 (Ian Chappell)",England [Marylebone Cricket Club] tour of Australia 1970/71,"Australia , elected to field first",ODI no. 1,1970/71
1,Australia,England,222/8,226/4 (49.1/55 ov),England won by 6 wickets (with 35 balls remaining),"Fall of wickets: 1-4 (Graeme Watson), 2-66 (Keith Stackpole), 3-125 (Ian Chappell), 4-156 (Greg Chappell), 5-167 (Paul Sheahan), 6-170 (Doug Walters), 7-205 (Rod Marsh), 8-222 (Ross Edwards)","Fall of wickets: 1-48 (Geoff Boycott), 2-173 (Keith Fletcher), 3-174 (Brian Close), 4-215 (Dennis Amiss)",Australia tour of England and Scotland 1972,"Australia , elected to bat first",ODI no. 2,1972
2,New Zealand,Pakistan,187,165 (33.3/40 ov),New Zealand won by 22 runs,"Fall of wickets: 1-35 (Glenn Turner), 2-43 (Bevan Congdon), 3-45 (Peter Coman), 4-62 (Brian Hastings), 5-98 (Graham Vivian), 6-143 (Mark Burgess), 7-152 (Dayle Hadlee), 8-160 (Ken Wadsworth), 9-176 (Hedley Howarth), 10-187 (Richard Collinge)","Fall of wickets: 1-43 (Intikhab Alam), 2-52 (Majid Khan), 3-60 (Sadiq Mohammad), 4-71 (Asif Iqbal), 5-93 (Wasim Raja), 6-99 (Nasim-ul-Ghani), 7-103 (Mushtaq Mohammad), 8-136 (Wasim Bari), 9-145 (Saleem Altaf), 10-165 (Sarfraz Nawaz)",Pakistan tour of New Zealand 1972/73,"Pakistan , elected to field first",ODI no. 5,1972/73
3,England,West Indies,189/9,190/2 (42.2/55 ov),West Indies won by 8 wickets (with 76 balls remaining),"Fall of wickets: 1-38 (Mike Smith), 2-39 (Mike Denness), 3-59 (John Jameson), 4-59 (David Lloyd), 5-100 (Tony Greig), 6-135 (Chris Old), 7-142 (Bob Taylor), 8-177 (Geoff Arnold), 9-184 (Keith Fletcher)","Fall of wickets: 1-43 (Ron Headley), 2-186 (Roy Fredericks)",West Indies tour of England 1973,"England , elected to bat first",ODI no. 9,1973
4,New Zealand,Australia,194/9,195/3 (24.3/35 ov),Australia won by 7 wickets (with 85 balls remaining),"Fall of wickets: 1-0 (Peter Coman), 2-12 (Glenn Turner), 3-61 (Brian Hastings), 4-94 (Mark Burgess), 5-140 (Vic Pollard), 6-145 (Bevan Congdon), 7-153 (Sir Richard Hadlee), 8-153 (Ken Wadsworth), 9-190 (Dayle Hadlee)","Fall of wickets: 1-0 (Ian Redpath), 2-136 (Keith Stackpole), 3-160 (Ian Chappell)",Australia tour of New Zealand 1973/74,"New Zealand , elected to bat first",ODI no. 10,1973/74
5,Australia,New Zealand,265/5,234/6 (35 ov),Australia won by 31 runs,"Fall of wickets: 1-39 (Keith Stackpole), 2-102 (Ashley Woodcock), 3-176 (Ian Chappell), 4-232 (Doug Walters), 5-261 (Ian Redpath)","Fall of wickets: 1-19 (Glenn Turner), 2-58 (Peter Coman), 3-64 (John Parker), 4-70 (Brian Hastings), 5-83 (Mark Burgess), 6-213 (Ken Wadsworth)",Australia tour of New Zealand 1973/74,"Australia , elected to bat first",ODI no. 11,1973/74
6,India,England,171,172/4 (48.5/55 ov),England won by 6 wickets (with 37 balls remaining),"Fall of wickets: 1-40 (Sunil Gavaskar), 2-48 (Sudhir Naik), 3-60 (Ajit Wadekar), 4-64 (Gopal Bose), 5-75 (Farokh Engineer), 6-94 (Brijesh Patel), 7-139 (Gundappa Viswanath), 8-142 (Eknath Solkar), 9-156 (Syed Abid Ali), 10-171 (Ashok Mankad)","Fall of wickets: 1-19 (Mike Smith), 2-65 (John Edrich), 3-71 (David Lloyd), 4-113 (Mike Denness)",India tour of England 1974,"India , elected to bat first",ODI no. 13,1974
7,Australia,England,190,191/7 (37.1/40 ov),England won by 3 wickets (with 23 balls remaining),"Fall of wickets: 1-5 (Wally Edwards), 2-11 (Ian Redpath), 3-65 (Ian Chappell), 4-105 (Greg Chappell), 5-122 (Ross Edwards), 6-139 (Doug Walters), 7-159 (Rod Marsh), 8-173 (Terry Jenner), 9-183 (Jeff Thomson), 10-190 (Max Walker)","Fall of wickets: 1-70 (Dennis Amiss), 2-117 (David Lloyd), 3-124 (Brian Luckhurst), 4-154 (Chris Old), 5-157 (Tony Greig), 6-182 (Mike Denness), 7-182 (Keith Fletcher)",England tour of Australia 1974/75,"England , elected to field first",ODI no. 16,1974/75
8,West Indies,Australia,224,225/5 (31.5/40 ov),Australia won by 5 wickets (with 67 balls remaining),"Fall of wickets: 1-39 (Roy Fredericks), 2-48 (Lawrence Rowe), 3-86 (Gordon Greenidge), 4-96 (Clive Lloyd), 5-188 (Sir Viv Richards), 6-189 (Alvin Kallicharran), 7-201 (Bernard Julien), 8-220 (Deryck Murray), 9-220 (Keith Boyce), 10-224 (Vanburn Holder)","Fall of wickets: 1-1 (Rick McCosker), 2-86 (Alan Turner), 3-119 (Ian Chappell), 4-179 (Greg Chappell), 5-214 (Ian Redpath)",West Indies tour of Australia 1975/76,"Australia , elected to field first",ODI no. 34,1975/76
9,India,New Zealand,154,155/1 (30.3/35 ov),New Zealand won by 9 wickets (with 37 balls remaining),"Fall of wickets: 1-7 (Parthasarthi Sharma), 2-16 (Anshuman Gaekwad), 3-30 (Dilip Vengsarkar), 4-87 (Brijesh Patel), 5-113 (Gundappa Viswanath), 6-117 (Eknath Solkar), 7-138 (Syed Kirmani), 8-149 (Mohinder Amarnath), 9-149 (Srinivas Venkataraghavan), 10-154 (Madan Lal)",Fall of wickets: 1-73 (Jock Edwards),India tour of New Zealand 1975/76,"India , elected to bat first",ODI no. 35,1975/76
10,New Zealand,India,236/8,156 (31.6/35 ov),New Zealand won by 80 runs,"Fall of wickets: 1-71 (Jock Edwards), 2-106 (Glenn Turner), 3-109 (Bevan Congdon), 4-142 (Lance Cairns), 5-142 (John Parker), 6-194 (Mark Burgess), 7-194 (Sir Richard Hadlee), 8-230 (Brian McKechnie)","Fall of wickets: 1-40 (Parthasarthi Sharma), 2-66 (Dilip Vengsarkar), 3-78 (Anshuman Gaekwad), 4-97 (Mohinder Amarnath), 5-103 (Eknath Solkar), 6-120 (Sudhakar Rao), 7-128 (Brijesh Patel), 8-139 (Madan Lal), 9-139 (Srinivas Venkataraghavan), 10-156 (Pochiah Krishnamurthy)",India tour of New Zealand 1975/76,"New Zealand , elected to bat first",ODI no. 36,1975/76
11,New Zealand,Pakistan,198/8,197/9 (35 ov),New Zealand won by 1 run,"Fall of wickets: 1-48 (John Morrison), 2-48 (Murray Parker), 3-135 (Geoff Howarth), 4-143 (Glenn Turner), 5-160 (John Parker), 6-161 (Andy Roberts), 7-188 (Lance Cairns), 8-189 (David O'Sullivan)","Fall of wickets: 1-38 (Majid Khan), 2-43 (Sadiq Mohammad), 3-89 (Zaheer Abbas), 4-139 (Mushtaq Mohammad), 5-166 (Intikhab Alam), 6-188 (Wasim Raja), 7-191 (Javed Miandad), 8-192 (Sarfraz Nawaz), 9-195 (Asif Masood)",New Zealand tour of Pakistan 1976/77,"New Zealand , elected to bat first",ODI no. 40,1976/77
12,England,Australia,242,246/8 (53.2/55 ov),Australia won by 2 wickets (with 10 balls remaining),"Fall of wickets: 1-161 (Mike Brearley), 2-168 (Derek Randall), 3-179 (Graham Barlow), 4-196 (Tony Greig), 5-203 (Alan Knott), 6-207 (Geoff Miller), 7-217 (Dennis Amiss), 8-227 (John Lever), 9-241 (Derek Underwood), 10-242 (Chris Old)","Fall of wickets: 1-33 (Rick McCosker), 2-181 (Richie Robinson), 3-186 (Kim Hughes), 4-209 (Doug Walters), 5-225 (David Hookes), 6-228 (Ray Bright), 7-228 (Kerry O'Keeffe), 8-237 (Jeff Thomson)",Australia tour of England 1977,"Australia , elected to field first",ODI no. 44,1977
13,Pakistan,England,208/6,212/7 (35 ov),England won by 3 wickets (with 0 balls remaining),"Fall of wickets: 1-4 (Sadiq Mohammad), 2-46 (Mudassar Nazar), 3-63 (Shafiq Ahmed), 4-114 (Wasim Raja), 5-167 (Pervez Mir), 6-201 (Hasan Jamil)","Fall of wickets: 1-66 (Mike Brearley), 2-111 (Mike Gatting), 3-127 (Brian Rose), 4-134 (Chris Old), 5-181 (Derek Randall), 6-193 (Graham Roope), 7-205 (Phil Edmonds)",England tour of Pakistan 1977/78,"Pakistan , elected to bat first",ODI no. 45,1977/78
14,Pakistan,England,151,152/4 (32.7/35 ov),England won by 6 wickets (with 17 balls remaining),"Fall of wickets: 1-20 (Sadiq Mohammad), 2-55 (Shafiq Ahmed), 3-57 (Mudassar Nazar), 4-65 (Haroon Rasheed), 5-74 (Javed Miandad), 6-76 (Wasim Bari), 7-140 (Wasim Raja), 8-150 (Hasan Jamil), 9-150 (Iqbal Qasim), 10-151 (Sikander Bakht)","Fall of wickets: 1-17 (Graham Roope), 2-43 (Geoff Miller), 3-104 (Brian Rose), 4-112 (Mike Gatting)",England tour of Pakistan 1977/78,"England , elected to field first",ODI no. 46,1977/78
