Team_1,Team_2,Winner,Margin,Ground,Ground_url,Match_Date,Scorecard,Scorecard_url
Australia,England,Australia,5 wickets,Melbourne,56441,5-Jan-71,ODI # 1,64148
England,Australia,England,6 wickets,Manchester,57160,24-Aug-72,ODI # 2,64944
England,Australia,Australia,5 wickets,Lord's,57129,26-Aug-72,ODI # 3,64945
England,Australia,England,2 wickets,Birmingham,56788,28-Aug-72,ODI # 4,64946
New Zealand,Pakistan,New Zealand,22 runs,Christchurch,58812,11-Feb-73,ODI # 5,64149
England,New Zealand,England,7 wickets,Swansea,57347,18-Jul-73,ODI # 6,64947
England,New Zealand,no result,,Manchester,57160,20-Jul-73,ODI # 7,64948
England,West Indies,England,1 wicket,Leeds,57092,5-Sep-73,ODI # 8,64949
England,West Indies,West Indies,8 wickets,The Oval,57127,7-Sep-73,ODI # 9,64950
New Zealand,Australia,Australia,7 wickets,Dunedin,58822,30-Mar-74,ODI # 10,64150
New Zealand,Australia,Australia,31 runs,Christchurch,58812,31-Mar-74,ODI # 11,64151
England,India,England,4 wickets,Leeds,57092,13-Jul-74,ODI # 12,64951
England,India,England,6 wickets,The Oval,57127,"Jul 15-16, 1974",ODI # 13,64952
England,Pakistan,Pakistan,7 wickets,Nottingham,57219,31-Aug-74,ODI # 14,64953
England,Pakistan,Pakistan,8 wickets,Birmingham,56788,3-Sep-74,ODI # 15,64954
Australia,England,England,3 wickets,Melbourne,56441,1-Jan-75,ODI # 16,64152
New Zealand,England,no result,,Dunedin,58822,8-Mar-75,ODI # 17,64153
New Zealand,England,no result,,Wellington,58895,9-Mar-75,ODI # 18,64154
England,India,England,202 runs,Lord's,57129,7-Jun-75,ODI # 19,65035
East Africa,New Zealand,New Zealand,181 runs,Birmingham,56788,7-Jun-75,ODI # 20,65036
Australia,Pakistan,Australia,73 runs,Leeds,57092,7-Jun-75,ODI # 21,65037
Sri Lanka,West Indies,West Indies,9 wickets,Manchester,57160,7-Jun-75,ODI # 22,65038
England,New Zealand,England,80 runs,Nottingham,57219,11-Jun-75,ODI # 23,65039
East Africa,India,India,10 wickets,Leeds,57092,11-Jun-75,ODI # 24,65040
Australia,Sri Lanka,Australia,52 runs,The Oval,57127,11-Jun-75,ODI # 25,65041
Pakistan,West Indies,West Indies,1 wicket,Birmingham,56788,11-Jun-75,ODI # 26,65042
England,East Africa,England,196 runs,Birmingham,56788,14-Jun-75,ODI # 27,65043
India,New Zealand,New Zealand,4 wickets,Manchester,57160,14-Jun-75,ODI # 28,65044
Australia,West Indies,West Indies,7 wickets,The Oval,57127,14-Jun-75,ODI # 29,65045
Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,57219,14-Jun-75,ODI # 30,65046
England,Australia,Australia,4 wickets,Leeds,57092,18-Jun-75,ODI # 31,65047
New Zealand,West Indies,West Indies,5 wickets,The Oval,57127,18-Jun-75,ODI # 32,65048
Australia,West Indies,West Indies,17 runs,Lord's,57129,21-Jun-75,ODI # 33,65049
Australia,West Indies,Australia,5 wickets,Adelaide,56293,20-Dec-75,ODI # 34,64155
New Zealand,India,New Zealand,9 wickets,Christchurch,58812,21-Feb-76,ODI # 35,64156
New Zealand,India,New Zealand,80 runs,Auckland,58792,22-Feb-76,ODI # 36,64157
England,West Indies,West Indies,6 wickets,Scarborough,57290,26-Aug-76,ODI # 37,64955
England,West Indies,West Indies,36 runs,Lord's,57129,"Aug 28-29, 1976",ODI # 38,64956
England,West Indies,West Indies,50 runs,Birmingham,56788,"Aug 30-31, 1976",ODI # 39,64957
Pakistan,New Zealand,New Zealand,1 run,Sialkot,59018,16-Oct-76,ODI # 40,64158
West Indies,Pakistan,West Indies,4 wickets,Albion,59417,16-Mar-77,ODI # 41,64159
England,Australia,England,2 wickets,Manchester,57160,2-Jun-77,ODI # 42,64958
England,Australia,England,101 runs,Birmingham,56788,4-Jun-77,ODI # 43,64959
England,Australia,Australia,2 wickets,The Oval,57127,6-Jun-77,ODI # 44,64960
Pakistan,England,England,3 wickets,Sahiwal,59011,23-Dec-77,ODI # 45,64160
Pakistan,England,England,6 wickets,Sialkot,59018,30-Dec-77,ODI # 46,64161
Pakistan,England,Pakistan,36 runs,Lahore,58967,13-Jan-78,ODI # 47,64162
West Indies,Australia,West Indies,44 runs,St John's,59495,22-Feb-78,ODI # 48,64163
West Indies,Australia,Australia,2 wickets,Castries,59434,12-Apr-78,ODI # 49,64164
England,Pakistan,England,132 runs,Manchester,57160,"May 24-25, 1978",ODI # 50,64961
England,Pakistan,England,94 runs,The Oval,57127,26-May-78,ODI # 51,64962
England,New Zealand,England,19 runs,Scarborough,57290,15-Jul-78,ODI # 52,64963
England,New Zealand,England,126 runs,Manchester,57160,17-Jul-78,ODI # 53,64964
Pakistan,India,India,4 runs,Quetta,58995,1-Oct-78,ODI # 54,64165
Pakistan,India,Pakistan,8 wickets,Sialkot,59018,13-Oct-78,ODI # 55,64166
Pakistan,India,Pakistan,,Sahiwal,59011,3-Nov-78,ODI # 56,64167
Australia,England,no result,,Sydney,56544,13-Jan-79,ODI # 57,64168
Australia,England,England,7 wickets,Melbourne,56441,24-Jan-79,ODI # 58,64169
Australia,England,Australia,4 wickets,Melbourne,56441,4-Feb-79,ODI # 59,64170
Australia,England,Australia,6 wickets,Melbourne,56441,7-Feb-79,ODI # 60,64171
India,West Indies,West Indies,9 wickets,Birmingham,56788,9-Jun-79,ODI # 61,65050
New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,57219,9-Jun-79,ODI # 62,65051
England,Australia,England,6 wickets,Lord's,57129,9-Jun-79,ODI # 63,65052
Canada,Pakistan,Pakistan,8 wickets,Leeds,57092,9-Jun-79,ODI # 64,65053
India,New Zealand,New Zealand,8 wickets,Leeds,57092,13-Jun-79,ODI # 65,65054
Australia,Pakistan,Pakistan,89 runs,Nottingham,57219,"Jun 13-14, 1979",ODI # 66,65055
England,Canada,England,8 wickets,Manchester,57160,"Jun 13-14, 1979",ODI # 67,65056
India,Sri Lanka,Sri Lanka,47 runs,Manchester,57160,"Jun 16-18, 1979",ODI # 68,65057
New Zealand,West Indies,West Indies,32 runs,Nottingham,57219,16-Jun-79,ODI # 69,65058
Australia,Canada,Australia,7 wickets,Birmingham,56788,16-Jun-79,ODI # 70,65059
England,Pakistan,England,14 runs,Leeds,57092,16-Jun-79,ODI # 71,65060
England,New Zealand,England,9 runs,Manchester,57160,20-Jun-79,ODI # 72,65061
Pakistan,West Indies,West Indies,43 runs,The Oval,57127,20-Jun-79,ODI # 73,65062
England,West Indies,West Indies,92 runs,Lord's,57129,23-Jun-79,ODI # 74,65063
Australia,West Indies,Australia,5 wickets,Sydney,56544,27-Nov-79,ODI # 75,65287
England,West Indies,England,2 runs,Sydney,56544,28-Nov-79,ODI # 76,65288
Australia,England,England,3 wickets,Melbourne,56441,8-Dec-79,ODI # 77,65289
Australia,West Indies,West Indies,80 runs,Melbourne,56441,9-Dec-79,ODI # 78,65290
Australia,England,England,72 runs,Sydney,56544,11-Dec-79,ODI # 79,65291
Australia,West Indies,Australia,7 runs,Sydney,56544,21-Dec-79,ODI # 80,65292
England,West Indies,West Indies,9 wickets,Brisbane,56336,23-Dec-79,ODI # 81,65293
Australia,England,England,4 wickets,Sydney,56544,26-Dec-79,ODI # 82,65294
Australia,England,England,2 wickets,Sydney,56544,14-Jan-80,ODI # 83,65295
England,West Indies,West Indies,107 runs,Adelaide,56293,16-Jan-80,ODI # 84,65296
Australia,West Indies,Australia,9 runs,Sydney,56544,18-Jan-80,ODI # 85,65297
England,West Indies,West Indies,2 runs,Melbourne,56441,20-Jan-80,ODI # 86,65298
England,West Indies,West Indies,8 wickets,Sydney,56544,22-Jan-80,ODI # 87,65299
New Zealand,West Indies,New Zealand,1 wicket,Christchurch,58812,6-Feb-80,ODI # 88,64172
England,West Indies,West Indies,24 runs,Leeds,57092,"May 28-29, 1980",ODI # 89,64965
England,West Indies,England,3 wickets,Lord's,57129,30-May-80,ODI # 90,64966
England,Australia,England,23 runs,The Oval,57127,20-Aug-80,ODI # 91,64967
England,Australia,England,47 runs,Birmingham,56788,22-Aug-80,ODI # 92,64968
Pakistan,West Indies,West Indies,4 wickets,Karachi,58956,21-Nov-80,ODI # 93,64173
Australia,New Zealand,New Zealand,3 wickets,Adelaide,56293,23-Nov-80,ODI # 94,65300
Australia,New Zealand,Australia,94 runs,Sydney,56544,25-Nov-80,ODI # 95,65301
Pakistan,West Indies,West Indies,7 wickets,Sialkot,59018,5-Dec-80,ODI # 96,64174
Australia,India,India,66 runs,Melbourne,56441,6-Dec-80,ODI # 97,65302
Australia,New Zealand,Australia,4 wickets,Melbourne,56441,7-Dec-80,ODI # 98,65303
India,New Zealand,India,5 runs,Perth,56490,9-Dec-80,ODI # 99,65304
Australia,India,Australia,9 wickets,Sydney,56544,18-Dec-80,ODI # 100,65305
Pakistan,West Indies,West Indies,7 runs,Lahore,58967,19-Dec-80,ODI # 101,64175
India,New Zealand,New Zealand,3 wickets,Brisbane,56336,21-Dec-80,ODI # 102,65306
India,New Zealand,India,6 runs,Adelaide,56293,23-Dec-80,ODI # 103,65307
Australia,India,Australia,9 wickets,Sydney,56544,8-Jan-81,ODI # 104,65308
India,New Zealand,New Zealand,10 wickets,Melbourne,56441,10-Jan-81,ODI # 105,65309
Australia,India,Australia,7 wickets,Melbourne,56441,11-Jan-81,ODI # 106,65310
Australia,New Zealand,New Zealand,1 run,Sydney,56544,13-Jan-81,ODI # 107,65311
Australia,India,Australia,27 runs,Sydney,56544,15-Jan-81,ODI # 108,65312
India,New Zealand,New Zealand,22 runs,Brisbane,56336,18-Jan-81,ODI # 109,65313
Australia,New Zealand,no result,,Sydney,56544,21-Jan-81,ODI # 110,65314
Australia,New Zealand,New Zealand,78 runs,Sydney,56544,29-Jan-81,ODI # 111,65315
Australia,New Zealand,Australia,7 wickets,Melbourne,56441,31-Jan-81,ODI # 112,65316
Australia,New Zealand,Australia,6 runs,Melbourne,56441,1-Feb-81,ODI # 113,65317
Australia,New Zealand,Australia,6 wickets,Sydney,56544,3-Feb-81,ODI # 114,65318
West Indies,England,West Indies,2 runs,Kingstown,59463,4-Feb-81,ODI # 115,64176
New Zealand,India,New Zealand,78 runs,Auckland,58792,14-Feb-81,ODI # 116,64177
New Zealand,India,New Zealand,57 runs,Hamilton,58831,15-Feb-81,ODI # 117,64178
West Indies,England,West Indies,6 wickets,Albion,59417,26-Feb-81,ODI # 118,64179
England,Australia,England,6 wickets,Lord's,57129,4-Jun-81,ODI # 119,64969
England,Australia,Australia,2 runs,Birmingham,56788,6-Jun-81,ODI # 120,64970
England,Australia,Australia,71 runs,Leeds,57092,8-Jun-81,ODI # 121,64971
Pakistan,West Indies,West Indies,18 runs,Melbourne,56441,21-Nov-81,ODI # 122,65319
Australia,Pakistan,Pakistan,4 wickets,Melbourne,56441,22-Nov-81,ODI # 123,65320
Australia,West Indies,Australia,7 wickets,Sydney,56544,24-Nov-81,ODI # 124,65321
India,England,England,5 wickets,Ahmedabad,57852,25-Nov-81,ODI # 125,64180
Pakistan,West Indies,Pakistan,8 runs,Adelaide,56293,5-Dec-81,ODI # 126,65322
Australia,Pakistan,Australia,38 runs,Adelaide,56293,6-Dec-81,ODI # 127,65323
Australia,Pakistan,Pakistan,6 wickets,Sydney,56544,17-Dec-81,ODI # 128,65324
Pakistan,West Indies,West Indies,7 wickets,Perth,56490,19-Dec-81,ODI # 129,65325
Australia,West Indies,West Indies,8 wickets,Perth,56490,20-Dec-81,ODI # 130,65326
India,England,India,6 wickets,Jalandhar,58164,20-Dec-81,ODI # 131,64181
Australia,Pakistan,Pakistan,25 runs,Melbourne,56441,9-Jan-82,ODI # 132,65327
Australia,West Indies,West Indies,5 wickets,Melbourne,56441,10-Jan-82,ODI # 133,65328
Pakistan,West Indies,West Indies,7 wickets,Sydney,56544,12-Jan-82,ODI # 134,65329
Australia,Pakistan,Australia,76 runs,Sydney,56544,14-Jan-82,ODI # 135,65330
Pakistan,West Indies,West Indies,1 wicket,Brisbane,56336,16-Jan-82,ODI # 136,65331
Australia,West Indies,West Indies,5 wickets,Brisbane,56336,17-Jan-82,ODI # 137,65332
Australia,West Indies,Australia,5 runs,Sydney,56544,19-Jan-82,ODI # 138,65333
Australia,West Indies,West Indies,86 runs,Melbourne,56441,23-Jan-82,ODI # 139,65334
Australia,West Indies,West Indies,128 runs,Melbourne,56441,24-Jan-82,ODI # 140,65335
Australia,West Indies,Australia,46 runs,Sydney,56544,26-Jan-82,ODI # 141,65336
Australia,West Indies,West Indies,18 runs,Sydney,56544,27-Jan-82,ODI # 142,65337
India,England,India,5 wickets,Cuttack,58027,27-Jan-82,ODI # 143,64182
New Zealand,Australia,New Zealand,46 runs,Auckland,58792,13-Feb-82,ODI # 144,64183
Sri Lanka,England,England,5 runs,Colombo (SSC),59308,13-Feb-82,ODI # 145,64184
Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC),59308,14-Feb-82,ODI # 146,64185
New Zealand,Australia,Australia,6 wickets,Dunedin,58822,17-Feb-82,ODI # 147,64186
New Zealand,Australia,Australia,8 wickets,Wellington,58895,20-Feb-82,ODI # 148,64187
Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,58956,12-Mar-82,ODI # 149,64188
Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore,58967,29-Mar-82,ODI # 150,64189
Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,58956,31-Mar-82,ODI # 151,64190
England,India,England,9 wickets,Leeds,57092,2-Jun-82,ODI # 152,64972
England,India,England,114 runs,The Oval,57127,4-Jun-82,ODI # 153,64973
England,Pakistan,England,7 wickets,Nottingham,57219,17-Jul-82,ODI # 154,64974
England,Pakistan,England,73 runs,Manchester,57160,19-Jul-82,ODI # 155,64975
India,Sri Lanka,India,78 runs,Amritsar,57871,12-Sep-82,ODI # 156,64191
India,Sri Lanka,India,6 wickets,Delhi,58040,15-Sep-82,ODI # 157,64192
Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind),58936,20-Sep-82,ODI # 158,64193
India,Sri Lanka,India,6 wickets,Bengaluru,57897,26-Sep-82,ODI # 159,64194
Pakistan,Australia,Pakistan,28 runs,Lahore,58967,8-Oct-82,ODI # 160,64195
Pakistan,Australia,no result,,Karachi,58956,22-Oct-82,ODI # 161,64196
Pakistan,India,Pakistan,14 runs,Gujranwala,58930,3-Dec-82,ODI # 162,64197
