player_name,class_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,boundary_fours,boundary_sixes,catches_taken,stumpings_made
272477,ODIs,9,3,2,7,6*,7,5,140,0,0,0,0,3,0
272477,T20Is,7,-,-,-,-,-,-,-,-,-,-,-,4,0
272477,First-class,31,45,13,389,39*,12.15,1084,35.88,0,0,39,6,11,0
272477,List A,46,24,10,137,24*,9.78,252,54.36,0,0,9,1,11,0
272477,T20s,61,12,8,75,26,18.75,69,108.69,0,0,6,1,20,0
326632,Tests,16,28,0,1123,180,40.1,1874,59.92,4,4,150,10,18,0
326632,ODIs,6,6,0,146,69,24.33,184,79.34,0,1,16,1,2,0
326632,First-class,109,192,13,7204,202*,40.24,13230,54.45,16,41,805,72,101,0
326632,List A,68,68,9,2146,154,36.37,2668,80.43,3,12,181,53,28,0
326632,T20s,62,59,9,1255,81*,25.1,1032,121.6,0,5,86,50,19,0
326434,ODIs,27,24,6,673,71,37.38,735,91.56,0,3,71,4,33,4
326434,T20Is,19,13,4,125,37*,13.88,101,123.76,0,0,10,4,11,5
326434,First-class,29,53,5,1413,139,29.43,2572,54.93,2,7,154,10,107,2
326434,List A,52,49,6,1390,92,32.32,1674,83.03,0,8,153,15,61,5
326434,T20s,44,38,7,918,100,29.61,712,128.93,1,5,93,24,36,8
261354,ODIs,32,21,6,252,92,16.8,262,96.18,0,1,20,6,7,0
261354,T20Is,28,15,4,150,34,13.63,120,125,0,0,10,10,13,0
261354,First-class,37,56,3,994,64,18.75,1389,71.56,0,3,125,23,24,0
261354,List A,73,48,13,672,92,19.2,701,95.86,0,3,68,15,27,0
261354,T20s,108,62,25,556,42*,15.02,422,131.75,0,0,35,36,35,0
489889,Tests,20,30,4,528,63,20.3,1323,39.9,0,2,55,10,9,0
489889,ODIs,56,33,12,219,36,10.42,303,72.27,0,0,17,3,13,0
489889,T20Is,20,11,4,35,13,5,37,94.59,0,0,2,1,4,0
489889,First-class,32,45,12,793,82*,24.03,1796,44.15,0,4,92,11,13,0
489889,List A,76,45,15,349,38,11.63,480,72.7,0,0,24,5,23,0
489889,T20s,72,39,17,310,39,14.09,250,124,0,0,18,14,14,0
5334,Tests,5,10,0,278,62,27.8,618,44.98,0,2,30,1,7,0
5334,ODIs,117,113,2,4556,153*,41.04,5088,89.54,15,24,453,112,59,0
5334,T20Is,52,52,7,1671,172,37.13,1072,155.87,2,9,161,79,23,0
5334,First-class,83,139,6,4721,288*,35.49,7689,61.39,7,31,540,68,78,0
5334,List A,196,192,7,7445,154,40.24,8406,88.56,19,44,724,188,86,0
5334,T20s,253,248,27,7835,172,35.45,5498,142.5,6,53,765,321,111,0
334337,Tests,16,29,5,934,110,38.91,1874,49.83,2,4,105,1,28,0
334337,ODIs,21,19,1,628,117,34.88,637,98.58,1,4,46,6,14,0
334337,T20Is,2,2,1,33,20*,33,33,100,0,0,1,0,0,0
334337,First-class,100,169,12,6067,215,38.64,11210,54.12,14,34,750,16,154,4
334337,List A,100,91,14,2960,140,38.44,3317,89.23,3,18,242,43,91,5
334337,T20s,63,55,13,924,103*,22,798,115.78,1,3,70,23,29,11
434813,Tests,6,11,1,327,79,32.7,616,53.08,0,2,38,0,7,0
434813,First-class,79,145,8,5167,250*,37.71,9057,57.04,11,22,671,23,39,0
434813,List A,38,37,1,1064,84,29.55,1211,87.86,0,6,125,18,9,0
434813,T20s,39,38,1,851,85,23,679,125.33,0,4,96,23,15,0
288284,Tests,44,55,24,388,39,12.51,884,43.89,0,0,53,2,15,0
288284,ODIs,44,13,11,37,11*,18.5,57,64.91,0,0,6,0,13,0
288284,T20Is,7,-,-,-,-,-,-,-,-,-,-,-,1,0
288284,First-class,78,93,34,727,43*,12.32,1655,43.92,0,0,103,4,28,0
288284,List A,93,33,18,144,30,9.6,241,59.75,0,0,11,2,26,0
288284,T20s,30,5,3,11,6*,5.5,23,47.82,0,0,0,0,5,0
530011,Tests,8,14,1,663,161,51,1299,51.03,1,5,71,1,6,0
530011,ODIs,42,39,2,1273,128,34.4,1414,90.02,1,10,135,16,12,0
530011,T20Is,16,15,3,319,48*,26.58,245,130.2,0,0,19,10,4,0
530011,First-class,86,158,6,5827,192,38.33,9599,60.7,8,41,785,23,38,0
530011,List A,91,87,3,3118,202,37.11,3323,93.83,7,16,334,56,27,0
530011,T20s,72,70,12,1808,101*,31.17,1334,135.53,1,8,122,80,23,0
215155,Tests,41,71,6,2765,174,42.53,5523,50.06,8,14,295,15,32,0
215155,ODIs,39,38,2,1536,104,42.66,1834,83.75,2,12,147,13,13,0
215155,T20Is,9,9,0,241,58,26.77,182,132.41,0,1,31,5,5,0
215155,First-class,137,239,22,9499,214,43.77,18297,51.91,28,45,1178,55,103,0
215155,List A,107,105,7,4591,166,46.84,5349,85.82,12,27,474,56,38,0
215155,T20s,66,65,5,1906,109*,31.76,1493,127.66,2,9,232,32,20,0
787987,Tests,5,8,0,210,81,26.25,432,48.61,0,1,17,1,8,0
787987,First-class,59,109,6,3869,182,37.56,7344,52.68,9,21,469,13,61,0
787987,List A,27,27,2,809,91,32.36,992,81.55,0,9,66,7,11,0
787987,T20s,7,6,0,42,20,7,50,84,0,0,3,0,4,0
326637,ODIs,4,4,0,75,44,18.75,89,84.26,0,0,5,3,3,0
326637,T20Is,18,16,1,291,44,19.4,221,131.67,0,0,28,14,3,0
326637,First-class,41,71,8,2743,250,43.53,4909,55.87,6,12,345,45,26,0
326637,List A,50,50,6,1597,135,36.29,1654,96.55,2,12,144,65,24,0
326637,T20s,162,155,19,4425,101,32.53,3117,141.96,1,31,357,251,49,0
272279,Tests,86,111,34,923,47,11.98,2007,45.98,0,0,116,5,41,0
272279,ODIs,27,12,9,69,30,23,74,93.24,0,0,7,2,7,0
272279,T20Is,2,1,1,4,4*,-,4,100,0,0,0,0,0,0
272279,First-class,145,185,53,1682,75,12.74,3431,49.02,0,2,196,15,63,0
272279,List A,69,32,18,205,37*,14.64,200,102.5,0,0,18,8,30,0
272279,T20s,40,15,6,51,11,5.66,54,94.44,0,0,4,0,12,0
272450,Tests,31,53,5,1219,181,25.39,2375,51.32,2,3,154,17,15,0
272450,ODIs,53,49,9,1428,102*,35.7,1534,93.08,1,11,120,37,25,0
272450,T20Is,11,11,3,175,36,21.87,151,115.89,0,0,7,9,4,0
272450,First-class,97,167,13,4885,211,31.72,8827,55.34,11,19,686,63,50,0
272450,List A,106,99,22,3001,124,38.97,3251,92.31,3,21,253,77,54,0
272450,T20s,74,67,18,1487,77*,30.34,1233,120.6,0,7,90,66,33,0
6683,Tests,38,68,2,2265,182,34.31,5165,43.85,6,10,264,8,23,0
6683,ODIs,73,72,4,2773,151,40.77,3406,81.41,7,15,247,36,22,0
6683,T20Is,15,15,1,255,47*,18.21,248,102.82,0,0,15,10,3,0
6683,First-class,157,277,28,10157,182,40.79,21134,48.05,26,50,,,136,0
6683,List A,162,158,10,6446,186,43.55,7989,80.68,17,34,,,56,0
6683,T20s,169,166,24,5589,115,39.35,4333,128.98,2,43,541,179,57,0
325026,Tests,7,14,1,339,104,26.07,570,59.47,1,0,33,7,5,0
325026,ODIs,108,98,11,2843,102,32.67,2289,124.2,1,19,286,93,64,0
325026,T20Is,59,53,9,1514,145*,34.4,957,158.2,3,6,126,78,30,0
325026,First-class,62,106,10,3870,278,40.31,5298,73.04,7,21,437,60,51,0
325026,List A,175,158,19,4631,146,33.31,3808,121.61,4,28,467,151,105,0
325026,T20s,238,225,27,5222,145*,26.37,3377,154.63,3,26,422,273,126,0
7252,Tests,21,35,7,984,92,35.14,2278,43.19,0,5,107,3,87,5
7252,ODIs,35,35,3,890,111,27.81,1257,70.8,1,5,96,6,51,4
7252,T20Is,12,9,1,82,25,10.25,77,106.49,0,0,7,3,11,2
7252,First-class,116,197,27,5015,215,29.5,11223,44.68,1,29,557,16,359,16
7252,List A,132,130,15,3844,134,33.42,5365,71.64,8,16,344,33,172,21
7252,T20s,80,74,3,1637,91,23.05,1335,122.62,0,10,161,44,56,15
505110,Tests,2,2,1,144,114*,144,274,52.55,1,0,17,1,6,0
505110,First-class,65,114,11,4253,157,41.29,8939,47.57,8,27,528,13,48,0
505110,List A,45,41,7,1190,115,35,1519,78.34,1,5,127,8,18,0
505110,T20s,26,24,1,442,48,19.21,404,109.4,0,0,43,5,10,0
774223,Tests,2,1,0,1,1,1,7,14.28,0,0,0,0,0,0
774223,ODIs,12,7,2,68,29,13.6,84,80.95,0,0,4,0,4,0
774223,T20Is,9,3,2,13,7*,13,6,216.66,0,0,2,0,9,0
774223,First-class,13,16,1,306,71,20.4,481,63.61,0,3,37,1,9,0
774223,List A,29,14,5,153,29*,17,174,87.93,0,0,10,1,11,0
774223,T20s,31,11,7,70,16,17.5,60,116.66,0,0,6,2,19,0
272262,ODIs,22,10,5,51,19,10.2,56,91.07,0,0,3,3,7,0
272262,T20Is,9,2,0,9,9,4.5,8,112.5,0,0,0,0,4,0
272262,First-class,32,51,4,661,49,14.06,1137,58.13,0,0,64,16,10,0
272262,List A,80,47,16,383,36,12.35,435,88.04,0,0,33,10,17,0
272262,T20s,90,33,16,275,45,16.17,236,116.52,0,0,15,10,35,0
308798,ODIs,4,4,1,83,47*,27.66,99,83.83,0,0,7,1,1,0
308798,T20Is,20,20,2,592,76,32.88,490,120.81,0,4,66,15,8,0
308798,First-class,13,24,1,582,66,25.3,1041,55.9,0,3,80,2,11,0
308798,List A,30,26,3,922,257,40.08,830,111.08,2,3,91,39,12,0
308798,T20s,62,62,6,2114,122*,37.75,1552,136.21,1,16,218,77,21,0
