,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
0,272477,ODIs,9,9,494,424,15,5/44,5/44,28.26,5.14,32.9,0,1,0
1,272477,T20Is,7,6,96,117,7,4/21,4/21,16.71,7.31,13.7,1,0,0
2,272477,First-class,31,54,5731,3006,126,9/37,14/89,23.85,3.14,45.4,10,6,2
3,272477,List A,46,46,2228,1824,64,5/27,5/27,28.50,4.91,34.8,1,2,0
4,272477,T20s,61,59,1304,1566,74,4/21,4/21,21.16,7.20,17.6,2,0,0
5,326632,Tests,16,-,-,-,-,-,-,-,-,-,-,-,-
6,326632,ODIs,6,-,-,-,-,-,-,-,-,-,-,-,-
7,326632,First-class,109,9,114,48,1,1/0,1/1,48.00,2.52,114.0,0,0,0
8,326632,List A,68,2,18,33,1,1/20,1/20,33.00,11.00,18.0,0,0,0
9,326632,T20s,62,8,54,71,3,1/8,1/8,23.66,7.88,18.0,0,0,0
10,326434,ODIs,27,-,-,-,-,-,-,-,-,-,-,-,-
11,326434,T20Is,19,-,-,-,-,-,-,-,-,-,-,-,-
12,326434,First-class,29,-,-,-,-,-,-,-,-,-,-,-,-
13,326434,List A,52,-,-,-,-,-,-,-,-,-,-,-,-
14,326434,T20s,44,-,-,-,-,-,-,-,-,-,-,-,-
15,261354,ODIs,32,32,1678,1555,52,4/48,4/48,29.90,5.56,32.2,1,0,0
16,261354,T20Is,28,27,582,802,34,4/31,4/31,23.58,8.26,17.1,1,0,0
17,261354,First-class,37,63,6861,3557,124,6/84,9/125,28.68,3.11,55.3,6,2,0
18,261354,List A,73,73,3947,3325,129,5/26,5/26,25.77,5.05,30.5,4,1,0
19,261354,T20s,108,105,2302,2988,130,4/20,4/20,22.98,7.78,17.7,2,0,0
20,489889,Tests,20,37,4401,2070,94,6/23,10/62,22.02,2.82,46.8,7,4,1
21,489889,ODIs,56,56,2937,2503,94,5/70,5/70,26.62,5.11,31.2,5,1,0
22,489889,T20Is,20,20,456,531,25,3/15,3/15,21.24,6.98,18.2,0,0,0
23,489889,First-class,32,58,6631,3165,134,6/23,10/62,23.61,2.86,49.4,10,4,1
24,489889,List A,76,76,3943,3366,125,5/70,5/70,26.92,5.12,31.5,7,1,0
25,489889,T20s,72,72,1634,2138,85,4/16,4/16,25.15,7.85,19.2,2,0,0
26,5334,Tests,5,1,12,8,0,-,-,-,4.00,-,0,0,0
27,5334,ODIs,117,19,266,239,4,1/2,1/2,59.75,5.39,66.5,0,0,0
28,5334,T20Is,52,2,12,27,0,-,-,-,13.50,-,0,0,0
29,5334,First-class,83,28,464,318,5,1/0,1/0,63.60,4.11,92.8,0,0,0
30,5334,List A,196,29,461,420,9,2/44,2/44,46.66,5.46,51.2,0,0,0
31,5334,T20s,253,25,221,340,7,1/9,1/9,48.57,9.23,31.5,0,0,0
32,334337,Tests,16,-,-,-,-,-,-,-,-,-,-,-,-
33,334337,ODIs,21,-,-,-,-,-,-,-,-,-,-,-,-
34,334337,T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
35,334337,First-class,100,1,12,21,0,-,-,-,10.50,-,0,0,0
36,334337,List A,100,-,-,-,-,-,-,-,-,-,-,-,-
37,334337,T20s,63,-,-,-,-,-,-,-,-,-,-,-,-
38,434813,Tests,6,-,-,-,-,-,-,-,-,-,-,-,-
39,434813,First-class,79,3,24,17,0,-,-,-,4.25,-,0,0,0
40,434813,List A,38,-,-,-,-,-,-,-,-,-,-,-,-
41,434813,T20s,39,-,-,-,-,-,-,-,-,-,-,-,-
42,288284,Tests,44,82,9575,4452,164,6/67,9/136,27.14,2.78,58.3,4,6,0
