overall,1,1,1,0,0,1.000,259,20,572,12.95,2.71,Profile,56319
England,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
Zimbabwe,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
neutral,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
,56319
1990s,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
,56319
won the toss,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
lost the toss,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
won toss & fielded,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
lost toss & sent in,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
,56319
matches batting first,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
matches fielding first,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
1st match innings,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
2nd match innings,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
won match,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
lost match,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
won batting first,1,1,0,0,0,-,134,10,277,13.40,2.90,,56319
lost fielding first,1,0,1,0,0,0.000,125,10,295,12.50,2.54,,56319
,56319
World Cup,1,1,1,0,0,1.000,259,20,572,12.95,2.71,,56319
overall,1,1,1,0,0,1.000,454,16,564,28.37,4.82,Profile,56322
England,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
Sri Lanka,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
neutral,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
,56322
1990s,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
,56322
won the toss,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost the toss,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won toss & batted,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost toss & fielded,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
matches batting first,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
matches fielding first,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
1st match innings,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
2nd match innings,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won match,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost match,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
won batting first,1,1,0,0,0,-,280,6,300,46.66,5.60,,56322
lost fielding first,1,0,1,0,0,0.000,174,10,264,17.40,3.95,,56322
,56322
World Cup,1,1,1,0,0,1.000,454,16,564,28.37,4.82,,56322
overall,1,1,1,0,0,1.000,445,17,600,26.17,4.45,Profile,56326
Sri Lanka,1,0,1,0,0,0.000,177,9,300,19.66,3.54,,56326
