overall,1975-2019,85,83,83,1,1,1.000,36735,1244,47123,29.52,4.67,Profile,56293
Australia,1975-2019,52,36,16,0,0,2.250,11466,339,14217,33.82,4.83,,56293
Bangladesh,2015-2015,1,1,0,0,0,-,275,7,300,39.28,5.50,,56293
England,1980-2018,17,4,12,0,1,0.333,3476,135,4490,25.74,4.64,,56293
India,1980-2019,15,9,5,1,0,1.800,3450,109,4239,31.65,4.88,,56293
Ireland,2015-2015,1,0,1,0,0,0.000,237,10,300,23.70,4.74,,56293
New Zealand,1980-2009,17,9,8,0,0,1.125,3766,131,4982,28.74,4.53,,56293
Pakistan,1981-2017,19,4,14,0,1,0.285,3876,163,5395,23.77,4.31,,56293
South Africa,1992-2018,6,4,2,0,0,2.000,1321,35,1591,37.74,4.98,,56293
Sri Lanka,1985-2013,19,5,13,1,0,0.384,4174,149,5372,28.01,4.66,,56293
West Indies,1975-2010,20,11,9,0,0,1.222,3976,142,5395,28.00,4.42,,56293
Zimbabwe,2001-2004,3,0,3,0,0,0.000,718,24,842,29.91,5.11,,56293
,56293
home,1975-2019,52,36,16,0,0,2.250,11466,339,14217,33.82,4.83,,56293
away,1975-2019,52,16,36,0,0,0.444,10751,419,14580,25.65,4.42,,56293
neutral,1980-2015,33,31,31,1,1,1.000,14518,486,18326,29.87,4.75,,56293
,56293
1970s,1975-1975,1,1,1,0,0,1.000,449,15,555,29.93,4.85,,56293
1980s,1980-1988,24,24,24,0,0,1.000,9832,361,13585,27.23,4.34,,56293
1990s,1990-1999,21,20,20,0,1,1.000,8330,287,11223,29.02,4.45,,56293
2000s,2000-2009,22,22,22,0,0,1.000,9809,321,12178,30.55,4.83,,56293
2010s,2010-2019,17,16,16,1,0,1.000,8315,260,9582,31.98,5.20,,56293
,56293
won the toss,1975-2019,85,42,41,1,1,1.024,18571,638,23731,29.10,4.69,,56293
lost the toss,1975-2019,85,41,42,1,1,0.976,18164,606,23392,29.97,4.65,,56293
,56293
won toss & batted,1980-2019,54,29,24,1,0,1.208,12673,421,15787,30.10,4.81,,56293
won toss & fielded,1975-2018,31,13,17,0,1,0.764,5898,217,7944,27.17,4.45,,56293
lost toss & sent in,1975-2018,31,17,13,0,1,1.307,6891,230,8882,29.96,4.65,,56293
lost toss & fielded,1980-2019,54,24,29,1,0,0.827,11273,376,14510,29.98,4.66,,56293
,56293
matches batting first,1975-2019,85,46,37,1,1,1.243,19564,651,24669,30.05,4.75,,56293
matches fielding first,1975-2019,85,37,46,1,1,0.804,17171,593,22454,28.95,4.58,,56293
,56293
1st match innings,1975-2019,85,46,37,1,1,1.243,19564,651,24669,30.05,4.75,,56293
2nd match innings,1975-2019,85,37,46,1,1,0.804,17171,593,22454,28.95,4.58,,56293
,56293
day match,1975-2005,42,41,41,0,1,1.000,16780,596,23039,28.15,4.36,,56293
day/night match,1997-2019,43,42,42,1,0,1.000,19955,648,24084,30.79,4.97,,56293
,56293
won match,1975-2019,83,83,0,0,0,-,19311,475,22997,40.65,5.03,,56293
lost match,1975-2019,83,0,83,0,0,0.000,16854,740,23236,22.77,4.35,,56293
tied match,2012-2012,1,0,0,1,0,0.000,472,18,600,26.22,4.72,,56293
no result,1992-1992,1,0,0,0,1,0.000,98,11,290,8.90,2.02,,56293
,56293
won batting first,1980-2018,46,46,0,0,0,-,11676,320,13592,36.48,5.15,,56293
won fielding first,1975-2019,37,37,0,0,0,-,7635,155,9405,49.25,4.87,,56293
lost batting first,1975-2019,37,0,37,0,0,0.000,7578,312,10535,24.28,4.31,,56293
lost fielding first,1980-2018,46,0,46,0,0,0.000,9276,428,12701,21.67,4.38,,56293
tied batting first,2012-2012,1,0,0,1,0,0.000,236,9,300,26.22,4.72,,56293
tied fielding first,2012-2012,1,0,0,1,0,0.000,236,9,300,26.22,4.72,,56293
no result batting first,1992-1992,1,0,0,0,1,0.000,74,10,242,7.40,1.83,,56293
no result fielding first,1992-1992,1,0,0,0,1,0.000,24,1,48,24.00,3.00,,56293
,56293
2 team series,1975-2019,13,13,13,0,0,1.000,6241,188,7193,33.19,5.20,,56293
3-4 team tournaments,1980-2012,65,64,64,1,0,1.000,27690,962,36469,28.78,4.55,,56293
5+ team tournaments,1992-2015,7,6,6,0,1,1.000,2804,94,3461,29.82,4.86,,56293
,56293
only match in series,1975-1975,1,1,1,0,0,1.000,449,15,555,29.93,4.85,,56293
1st match in series,2007-2007,1,1,1,0,0,1.000,509,10,555,50.90,5.50,,56293
2nd match in series,2010-2019,4,4,4,0,0,1.000,1735,56,2106,30.98,4.94,,56293
3rd match in series,2010-2010,1,1,1,0,0,1.000,532,16,586,33.25,5.44,,56293
4th match in series,2009-2018,4,4,4,0,0,1.000,1906,56,2198,34.03,5.20,,56293
